Feature,Throughput_Importance,FailureRate_Importance
load,0.8786670509808255,0.20792073591569724
numCaliperWorkers,0.031825144140444774,0.11478759748366302
hotParticipants,0.024964908013311114,0.231463595954469
latency,0.03170836007763762,0.05287960386952823
ledgerWrites,0.006756748946510092,0.03404003116449457
reads,0.004820223783747726,0.18798485199761825
payloadBytes,0.021257564057523135,0.1709235836145296
