Model,R2,MAE,RMSE
Linear Regression (Throughput),0.8134686991686055,17.48639190556936,30.30314410740382
Random Forest (Throughput),0.9296364388613072,6.005055506807505,18.611686874028493
Gradient Boosting (Throughput),0.9142888069098993,8.339500515351036,20.54142659487068
XGBoost (Throughput),0.9304539348641941,6.327483522694396,18.50325411037558
Linear Regression (Failure Rate),0.5814386289005767,0.1695519515853765,0.22701010951265188
Random Forest (Failure Rate),0.9602457811820857,0.032190672103274934,0.06996119800355774
Gradient Boosting (Failure Rate),0.9057364361171101,0.07201549759933101,0.1077302216566768
XGBoost (Failure Rate),0.9563283597815779,0.03875992399343999,0.07332724654561586
