Feature,Throughput_Importance,FailureRate_Importance
load,0.8108720353639194,0.15958485036176373
hotParticipants,0.025135225922927953,0.5082916337797382
latency,0.05156770368902713,0.08710663721136962
ledgerWrites,0.05701987847792111,0.022789951790779823
reads,0.02383261092928162,0.017671459460584026
payloadBytes,0.03157254561692282,0.2045554673957648
