Model,R2,MAE,RMSE
Random Forest (Throughput),0.9236191347845508,11.933191554687022,25.145477332702296
Random Forest (Failure Rate),0.957018402922831,0.03676332419028504,0.08076024118144517
Linear Regression (Throughput),0.8147584775146659,23.35465701855063,39.159466664648164
Linear Regression (Failure Rate),0.6679825384965623,0.16926355449637417,0.2244588819434432
